HARGA,LT,LB,JKT,JKM,KOTA
5250000000,135,250,3,4,JAKSEL
13500000000,565,380,3,3,JAKSEL
10500000000,220,350,4,3,JAKSEL
17000000000,440,350,4,4,JAKSEL
7900000000,356,450,4,3,JAKSEL
18600000000,474,455,4,4,JAKSEL
35000000000,1200,900,6,6,JAKSEL
25000000000,670,650,3,3,JAKSEL
22000000000,754,500,4,4,JAKSEL
68000000000,2595,1000,5,5,JAKSEL
6500000000,266,350,4,4,JAKSEL
2500000000,200,120,3,3,JAKSEL
22000000000,754,500,4,4,JAKSEL
22000000000,888,450,4,3,JAKSEL
5100000000,120,210,4,3,JAKSEL
9200000000,231,389,3,3,JAKSEL
36000000000,1200,850,5,4,JAKSEL
7900000000,205,357,4,4,JAKSEL
5800000000,250,350,4,4,JAKSEL
11000000000,230,350,4,4,JAKSEL
4900000000,340,210,3,2,JAKSEL
23000000000,806,700,4,4,JAKSEL
17000000000,440,350,4,4,JAKSEL
8200000000,188,330,3,3,JAKSEL
9500000000,251,295,4,4,JAKSEL
6500000000,266,350,4,3,JAKSEL
27000000000,900,400,4,3,JAKSEL
16500000000,600,400,7,4,JAKSEL
35000000000,2000,800,4,4,JAKSEL
6200000000,142,311,3,2,JAKSEL
15000000000,912,484,6,3,JAKSEL
9500000000,251,295,4,4,JAKSEL
23000000000,806,700,4,4,JAKSEL
7370000000,211,465,4,4,JAKSEL
19500000000,850,750,3,2,JAKSEL
5800000000,122,289,3,3,JAKSEL
33000000000,1100,800,5,5,JAKSEL
22500000000,500,536,5,5,JAKSEL
4200000000,110,165,4,3,JAKSEL
16950000000,387,250,1,1,JAKSEL
13000000000,616,650,4,4,JAKSEL
18000000000,670,385,4,4,JAKSEL
7000000000,140,215,4,4,JAKSEL
5000000000,234,350,4,4,JAKSEL
38500000000,1420,550,8,5,JAKSEL
15000000000,395,420,4,4,JAKSEL
13500000000,230,400,3,2,JAKSEL
13000000000,372,450,4,4,JAKSEL
8500000000,250,400,4,4,JAKSEL
17000000000,786,1000,6,7,JAKSEL
43000000000,1350,750,5,5,JAKSEL
13000000000,235,623,4,4,JAKSEL
22000000000,1000,800,5,4,JAKSEL
9950000000,212,300,4,3,JAKSEL
12500000000,512,350,3,3,JAKSEL
16000000000,578,500,5,4,JAKSEL
22600000000,754,500,4,4,JAKSEL
75000000000,1830,1000,5,4,JAKSEL
30000000000,1100,500,4,4,JAKSEL
20000000000,897,450,4,4,JAKSEL
15000000000,733,140,2,2,JAKSEL
19000000000,435,500,4,4,JAKSEL
8700000000,229,327,4,3,JAKSEL
25000000000,670,671,4,4,JAKSEL
19000000000,520,600,4,4,JAKSEL
35000000000,900,800,7,5,JAKSEL
18000000000,677,450,4,3,JAKSEL
15000000000,415,150,3,2,JAKSEL
9500000000,350,460,6,5,JAKSEL
25500000000,1020,816,5,3,JAKSEL
16000000000,1095,450,3,4,JAKSEL
15000000000,940,320,2,2,JAKSEL
22000000000,824,600,7,4,JAKSEL
6900000000,243,260,4,4,JAKSEL
20000000000,429,499,4,4,JAKSEL
45000000000,1466,900,9,9,JAKSEL
60000000000,2360,542,6,8,JAKSEL
10800000000,472,650,6,3,JAKSEL
56000000000,1470,2000,7,7,JAKSEL
14400000000,474,455,3,4,JAKSEL
60000000000,2630,542,6,8,JAKSEL
9500000000,278,400,3,2,JAKSEL
19000000000,430,500,4,5,JAKSEL
40000000000,973,1100,4,4,JAKSEL
175230000000,4574,4271,4,4,JAKSEL
19500000000,834,780,6,3,JAKSEL
17000000000,392,450,4,4,JAKSEL
16000000000,1095,450,3,4,JAKSEL
13000000000,407,850,4,4,JAKSEL
21000000000,817,500,4,3,JAKSEL
19000000000,800,500,5,4,JAKSEL
1880000000,90,135,3,3,JAKSEL
5100000000,140,250,3,2,JAKSEL
12000000000,572,432,5,6,JAKSEL
8000000000,350,350,5,5,JAKSEL
17000000000,389,450,7,4,JAKSEL
49000000000,943,600,7,4,JAKSEL
6000000000,144,250,4,3,JAKSEL
12000000000,230,300,5,4,JAKSEL
17000000000,470,660,4,4,JAKSEL
10500000000,220,325,4,3,JAKSEL
950000000,50,80,3,2,JAKSEL
9500000000,462,350,3,3,JAKSEL
19000000000,358,500,4,5,JAKSEL
25500000000,1020,816,4,4,JAKSEL
2800000000,70,125,3,3,JAKSEL
18500000000,358,500,4,4,JAKSEL
22000000000,780,580,4,4,JAKSEL
5500000000,150,210,4,4,JAKSEL
10500000000,500,700,4,4,JAKSEL
17000000000,465,640,4,5,JAKSEL
5680000000,151,245,3,3,JAKSEL
15000000000,400,800,4,4,JAKSEL
13500000000,615,500,4,5,JAKSEL
4800000000,200,260,5,7,JAKSEL
14000000000,350,250,3,3,JAKSEL
19000000000,520,500,5,5,JAKSEL
17000000000,389,450,4,4,JAKSEL
13500000000,1034,900,6,5,JAKSEL
8500000000,307,400,7,6,JAKSEL
9500000000,458,300,5,4,JAKSEL
40000000000,1050,800,27,21,JAKSEL
18000000000,900,500,4,4,JAKSEL
6700000000,285,258,4,4,JAKSEL
37500000000,680,1250,6,5,JAKSEL
26000000000,600,450,4,4,JAKSEL
15000000000,500,1000,5,5,JAKSEL
33000000000,585,900,7,6,JAKSEL
8500000000,250,300,4,4,JAKSEL
22000000000,900,1800,4,3,JAKSEL
7900000000,220,300,3,3,JAKSEL
11160000000,248,333,4,4,JAKSEL
19500000000,443,450,5,3,JAKSEL
10000000000,475,600,5,5,JAKSEL
1100000000,59,80,3,2,JAKSEL
7190000000,207,245,3,3,JAKSEL
9000000000,200,300,5,4,JAKSEL
5700000000,144,325,3,3,JAKSEL
36000000000,1300,850,5,4,JAKSEL
17000000000,663,530,5,4,JAKSEL
23000000000,650,600,5,5,JAKSEL
1140000000,60,60,3,2,JAKSEL
12500000000,512,350,3,3,JAKSEL
16000000000,587,350,4,3,JAKSEL
5800000000,144,285,4,3,JAKSEL
17000000000,536,900,7,2,JAKSEL
14000000000,464,360,4,3,JAKSEL
17500000000,518,450,5,7,JAKSEL
26000000000,900,500,7,4,JAKSEL
11500000000,547,500,4,3,JAKSEL
19000000000,800,500,5,3,JAKSEL
19000000000,800,500,5,4,JAKSEL
3600000000,164,150,4,4,JAKSEL
5300000000,90,205,3,3,JAKSEL
11000000000,436,300,6,5,JAKSEL
6620000000,135,225,5,4,JAKSEL
5500000000,164,240,4,3,JAKSEL
19800000000,1039,430,5,4,JAKSEL
40000000000,1752,712,3,4,JAKSEL
10000000000,395,450,5,5,JAKSEL
6500000000,124,300,3,3,JAKSEL
6800000000,145,330,4,1,JAKSEL
9000000000,450,700,4,4,JAKSEL
4500000000,240,355,4,3,JAKSEL
24500000000,876,600,8,5,JAKSEL
5800000000,144,325,3,3,JAKSEL
10500000000,500,700,4,4,JAKSEL
15500000000,440,350,6,4,JAKSEL
7000000000,272,310,5,3,JAKSEL
14500000000,600,643,5,5,JAKSEL
5500000000,150,210,4,4,JAKSEL
17000000000,670,800,5,5,JAKSEL
18500000000,443,450,5,5,JAKSEL
